#proteinId	gotermId	goName	gotermType	goAcc
994	9321	integral to membrane	cellular_component	GO:0016021
994	3117	ribose-5-phosphate isomerase activity	molecular_function	GO:0004751
1009	2175	nucleic acid binding	molecular_function	GO:0003676
1009	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
1009	2975	cyclophilin	molecular_function	GO:0004600
1009	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
1009	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
1480	8851	tetracycline:hydrogen antiporter activity	molecular_function	GO:0015520
1480	9211	tetracycline transport	biological_process	GO:0015904
1480	9321	integral to membrane	cellular_component	GO:0016021
1480	21106	response to antibiotic	biological_process	GO:0046677
1652	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
1652	6276	carbohydrate transport	biological_process	GO:0008643
1652	9320	membrane	cellular_component	GO:0016020
1652	3546	transporter activity	molecular_function	GO:0005215
1652	4927	transport	biological_process	GO:0006810
1652	9321	integral to membrane	cellular_component	GO:0016021
1652	6508	guanine deaminase activity	molecular_function	GO:0008892
3298	3782	extracellular region	cellular_component	GO:0005576
3837	3722	copper ion binding	molecular_function	GO:0005507
3837	5811	amine oxidase activity	molecular_function	GO:0008131
3837	6905	amine metabolic process	biological_process	GO:0009308
3837	22442	quinone binding	molecular_function	GO:0048038
3933	2196	transcription factor activity	molecular_function	GO:0003700
3933	3838	nucleus	cellular_component	GO:0005634
3933	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
3933	5939	zinc ion binding	molecular_function	GO:0008270
3933	2176	DNA binding	molecular_function	GO:0003677
3933	4499	transcription	biological_process	GO:0006350
4088	2196	transcription factor activity	molecular_function	GO:0003700
4088	3838	nucleus	cellular_component	GO:0005634
4088	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
4088	5939	zinc ion binding	molecular_function	GO:0008270
4124	2196	transcription factor activity	molecular_function	GO:0003700
4124	3838	nucleus	cellular_component	GO:0005634
4124	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
4124	5939	zinc ion binding	molecular_function	GO:0008270
4124	2176	DNA binding	molecular_function	GO:0003677
4124	4499	transcription	biological_process	GO:0006350
4749	4977	amino acid transport	biological_process	GO:0006865
4749	8535	amino acid transmembrane transporter activity	molecular_function	GO:0015171
4749	9320	membrane	cellular_component	GO:0016020
4749	9321	integral to membrane	cellular_component	GO:0016021
4749	4927	transport	biological_process	GO:0006810
7658	3727	protein binding	molecular_function	GO:0005515
7664	3028	porphobilinogen synthase activity	molecular_function	GO:0004655
8876	5830	metabolic process	biological_process	GO:0008152
8876	9985	hydrolase activity	molecular_function	GO:0016787
8983	3043	protein kinase activity	molecular_function	GO:0004672
8983	3736	ATP binding	molecular_function	GO:0005524
8983	4602	protein amino acid phosphorylation	biological_process	GO:0006468
8983	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
8983	3052	protein kinase CK2 activity	molecular_function	GO:0004682
9088	4758	lipid metabolic process	biological_process	GO:0006629
9088	9986	hydrolase activity, acting on ester bonds	molecular_function	GO:0016788
9088	2561	cystathionine gamma-lyase activity	molecular_function	GO:0004123
10036	9823	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
10036	22441	cofactor binding	molecular_function	GO:0048037
10036	6489	gluconate 2-dehydrogenase activity	molecular_function	GO:0008873
10036	6491	gluconate dehydrogenase activity	molecular_function	GO:0008875
10211	2290	catalytic activity	molecular_function	GO:0003824
10211	4143	carbohydrate metabolic process	biological_process	GO:0005975
10211	13135	carbohydrate binding	molecular_function	GO:0030246
10279	70	protein import into nucleus, docking	biological_process	GO:0000059
10279	3838	nucleus	cellular_component	GO:0005634
10279	3846	nuclear pore	cellular_component	GO:0005643
10279	3930	cytoplasm	cellular_component	GO:0005737
10279	4994	intracellular protein transport	biological_process	GO:0006886
10279	6212	protein transporter activity	molecular_function	GO:0008565
10279	3708	binding	molecular_function	GO:0005488
10719	2196	transcription factor activity	molecular_function	GO:0003700
10719	3838	nucleus	cellular_component	GO:0005634
10719	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
10719	5939	zinc ion binding	molecular_function	GO:0008270
10719	2176	DNA binding	molecular_function	GO:0003677
10719	4499	transcription	biological_process	GO:0006350
11088	5939	zinc ion binding	molecular_function	GO:0008270
11088	9710	oxidoreductase activity	molecular_function	GO:0016491
11088	2466	alcohol dehydrogenase activity	molecular_function	GO:0004022
11088	2467	alcohol dehydrogenase activity, metal ion-independent	molecular_function	GO:0004023
11088	2468	alcohol dehydrogenase activity, zinc-dependent	molecular_function	GO:0004024
11088	2469	alcohol dehydrogenase activity, iron-dependent	molecular_function	GO:0004025
11695	9985	hydrolase activity	molecular_function	GO:0016787
11695	22041	ADP-ribose diphosphatase activity	molecular_function	GO:0047631
11845	10079	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	molecular_function	GO:0016884
12034	5830	metabolic process	biological_process	GO:0008152
12034	9710	oxidoreductase activity	molecular_function	GO:0016491
12034	2723	3-oxoacyl-[acyl-carrier-protein] reductase activity	molecular_function	GO:0004316
13590	10026	carboxy-lyase activity	molecular_function	GO:0016831
13590	12002	carboxylic acid metabolic process	biological_process	GO:0019752
13590	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
13590	2757	glutamate decarboxylase activity	molecular_function	GO:0004351
13590	4666	glutamate metabolic process	biological_process	GO:0006536
14512	3052	protein kinase CK2 activity	molecular_function	GO:0004682
15347	2632	pepsin A activity	molecular_function	GO:0004194
15347	4639	proteolysis	biological_process	GO:0006508
15347	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
15684	2196	transcription factor activity	molecular_function	GO:0003700
15684	3838	nucleus	cellular_component	GO:0005634
15684	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
15684	19030	sequence-specific DNA binding	molecular_function	GO:0043565
15684	21401	protein dimerization activity	molecular_function	GO:0046983
16257	2227	structural constituent of ribosome	molecular_function	GO:0003735
16257	3827	intracellular	cellular_component	GO:0005622
16257	4025	ribosome	cellular_component	GO:0005840
16257	4556	translation	biological_process	GO:0006412
16257	2216	RNA binding	molecular_function	GO:0003723
17901	6667	biosynthetic process	biological_process	GO:0009058
17901	9940	transferase activity	molecular_function	GO:0016740
18422	3425	Rho guanyl-nucleotide exchange factor activity	molecular_function	GO:0005089
18422	3827	intracellular	cellular_component	GO:0005622
18422	17205	regulation of Rho protein signal transduction	biological_process	GO:0035023
18422	5323	intracellular signaling cascade	biological_process	GO:0007242
18422	3419	small GTPase regulator activity	molecular_function	GO:0005083
18683	2176	DNA binding	molecular_function	GO:0003677
18683	3838	nucleus	cellular_component	GO:0005634
18683	5939	zinc ion binding	molecular_function	GO:0008270
20168	18831	[formate-C-acetyltransferase]-activating enzyme activity	molecular_function	GO:0043365
21537	5830	metabolic process	biological_process	GO:0008152
21537	9710	oxidoreductase activity	molecular_function	GO:0016491
21537	14950	sorbose reductase activity	molecular_function	GO:0032115
21827	2986	phosphoenolpyruvate carboxykinase (ATP) activity	molecular_function	GO:0004612
21914	4758	lipid metabolic process	biological_process	GO:0006629
21914	3132	sterol esterase activity	molecular_function	GO:0004771
22049	2290	catalytic activity	molecular_function	GO:0003824
22049	2739	fumarate hydratase activity	molecular_function	GO:0004333
22049	4271	fumarate metabolic process	biological_process	GO:0006106
22049	19712	tricarboxylic acid cycle enzyme complex	cellular_component	GO:0045239
22254	12037	small conjugating protein ligase activity	molecular_function	GO:0019787
22254	19152	post-translational protein modification	biological_process	GO:0043687
22254	24495	regulation of protein metabolic process	biological_process	GO:0051246
22254	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
22254	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
22254	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
22254	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
22254	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
23214	9320	membrane	cellular_component	GO:0016020
23238	4650	amino acid metabolic process	biological_process	GO:0006520
23238	2509	asparaginase activity	molecular_function	GO:0004067
23523	2196	transcription factor activity	molecular_function	GO:0003700
23523	3838	nucleus	cellular_component	GO:0005634
23523	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
23523	5939	zinc ion binding	molecular_function	GO:0008270
23523	2176	DNA binding	molecular_function	GO:0003677
23523	4499	transcription	biological_process	GO:0006350
23826	23498	pyridoxine 4-dehydrogenase activity	molecular_function	GO:0050236
23841	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
23841	6276	carbohydrate transport	biological_process	GO:0008643
23841	9320	membrane	cellular_component	GO:0016020
23841	3546	transporter activity	molecular_function	GO:0005215
23841	4927	transport	biological_process	GO:0006810
23841	9321	integral to membrane	cellular_component	GO:0016021
24372	5830	metabolic process	biological_process	GO:0008152
24372	5846	methyltransferase activity	molecular_function	GO:0008168
24372	2304	sterol 24-C-methyltransferase activity	molecular_function	GO:0003838
25842	4598	protein modification process	biological_process	GO:0006464
25842	4643	ubiquitin cycle	biological_process	GO:0006512
25842	8400	protein transport	biological_process	GO:0015031
28245	2176	DNA binding	molecular_function	GO:0003677
28245	3736	ATP binding	molecular_function	GO:0005524
28245	4429	DNA replication initiation	biological_process	GO:0006270
